2026-09-08 16:03:30 | INFO | supply_chain_delivery_app | logger.initialized path=/Users/aditikulkarni/Documents/Masters/AI-Projects/12-Thesis/0_supply_chain_thesis/supply_chain_topology_app/log/delivery_chat_run_20260908_160330.log
2026-09-08 16:05:28 | INFO | supply_chain_delivery_app | tool.recommend_actions.started
2026-09-08 16:05:28 | INFO | supply_chain_delivery_app | tool.recommend_actions.data diagnosis_chars=4557 dims_compared=6 hist_high_risk=10 daily_high_risk=10 severity_hotspots=5 hist_top_dims=6 daily_top_dims=6 output_chars=8291
2026-09-08 16:05:31 | INFO | supply_chain_delivery_app | rag.retrieve.started input_len=8291 rerank_top_n=8
2026-09-08 16:05:32 | INFO | supply_chain_delivery_app | rag.collection.load.started
2026-09-08 16:05:32 | INFO | supply_chain_delivery_app | rag.collection.load.completed duration_ms=64 count=73
2026-09-08 16:05:32 | INFO | supply_chain_delivery_app | rag.retrieve.hybrid_prefilter candidates=12
2026-09-08 16:05:32 | INFO | supply_chain_delivery_app | rag.cross_encoder.load model=cross-encoder/ms-marco-MiniLM-L-6-v2
2026-09-08 16:05:42 | INFO | supply_chain_delivery_app | rag.cross_encoder.ready
2026-09-08 16:05:42 | INFO | supply_chain_delivery_app | rag.retrieve.cross_encoder_rerank returned=8
2026-09-08 16:05:42 | INFO | supply_chain_delivery_app | rag.retrieve.completed duration_ms=11525 retrieved=15 returned=8
2026-09-08 16:05:42 | INFO | supply_chain_delivery_app | tool.recommend_actions.completed status=ok duration_ms=14689
